Dictionary,Code,Name,Text
ETIM,EC000093,D-system screw cap,Component that houses the fuse on the head contact and fixates it by screwing into the fuse base
ETIM,EC000094,D-system fuse base,Component which is mounted on the power rail and serves as a solid base for screw fuses with the fitt
ETIM,EC000096,Slide nut,A fastener that slides into a channel before being tightened.
ETIM,EC000097,Hammer-in plug,A fixing element inserted into a hole and secured by hammering.
ETIM,EC000098,Washer,A flat disc used to distribute load in fastening applications.
ETIM,EC000099,D-system fuse link,"Screw fuse with foot contact and current-dependent stepped diameter, in whose center of head contact "
ETIM,EC000100,Fuse enclosure,Partly adaptable housing for the array of fuses which produce or separate an electrically conductive 
ETIM,EC000101,Light-track,A rail system used for mounting and powering multiple light fixtures.
ETIM,EC000102,Incandescent lamp with reflector,A filament-based light bulb with a reflective coating to direct light.
ETIM,EC000103,Nail,A slender metal pin used for fastening materials together.
ETIM,EC000105,Cordless telephone,A wireless communication device that connects to a landline base station.
ETIM,EC000106,Thermal overload relay,A protective device that disconnects a circuit when excessive heat is detected.
ETIM,EC000107,Timer for domestic switching devices,A programmable device that controls the operation time of electrical switches.
ETIM,EC000108,Fluorescent lamp,A gas-discharge light source that uses fluorescence to produce visible light.
ETIM,EC000109,Batten luminaire,"A long, narrow lighting fixture designed for ceiling or wall mounting."
ETIM,EC000112,Toggle fixing,A fastener with a toggle mechanism for securing objects to hollow surfaces.
ETIM,EC000113,Junction box for installation duct,"Installation casing for the installation duct, in order to bring together multiple electric lines for"
ETIM,EC000114,Junction box for subfloor installation,An enclosure for electrical connections installed beneath flooring.
ETIM,EC000115,Plaster compensation ring,A spacer used to align electrical fixtures with plastered surfaces.
ETIM,EC000117,HiFi Amplifier,An electronic device that amplifies audio signals for high-fidelity sound systems.
ETIM,EC000118,Subfloor installation duct screed-covered,Duct system in which the screed thickness over the duct has to be at least thirty-five millimeters in
ETIM,EC000119,Device cup/device carrier for subfloor system,A mounting component for electrical devices within a subfloor system.
ETIM,EC000120,On-floor duct base,Foundation for systems that are locked in place on the floor and are used for the laying of cables an
ETIM,EC000121,Surface tank empty,Installation of devices above floor has to take place either on the duct or on a can body due to the 
ETIM,EC000122,Feed unit for busbar trunk,A component that supplies power to a busbar trunking system.
ETIM,EC000125,Socket outlet,A receptacle for connecting electrical plugs to a power supply.
ETIM,EC000127,Saddle clamp (pipe/cable),A fastening device used to secure pipes or cables to surfaces.
ETIM,EC000128,Self-adhesive tape,A flexible tape with an adhesive backing for securing materials.
ETIM,EC000130,Signal horn,A sound-emitting device used for alarms or warnings.
ETIM,EC000131,Bell gong,A mechanical or electronic device that produces a ringing sound.
ETIM,EC000132,Bell push button,A switch that activates a bell or chime when pressed.
ETIM,EC000133,Movement sensor/presence detector complete,A device that detects motion or presence and triggers a response.
ETIM,EC000134,Low voltage switch for doorbell,A switch designed for controlling a low-voltage doorbell circuit.
ETIM,EC000135,Hospital call button (hanging),"Electrical device for activating an audible signal device to the call, which is attached to a string"
ETIM,EC000136,Lamp holder for doorbell,A socket designed to hold a light bulb in a doorbell system.
ETIM,EC000137,Motor siren,A siren that generates sound using an electrically driven motor.
ETIM,EC000138,Sensor element for movement sensor/presence detector,"Sensor for motion detectors that responds to a change in temperature caused by movement of people, an"
ETIM,EC000140,CEE plug (IEC 60309),A heavy-duty industrial plug designed for high-current applications.
ETIM,EC000141,Labelling material for domestic switching devices,A material used to mark or identify switches and sockets.
ETIM,EC000142,Cable shears,A hand tool designed to cut electrical cables cleanly.
ETIM,EC000143,Folding rule,A measuring tool consisting of hinged segments for compact storage.
ETIM,EC000144,Crosshead screwdriver,A tool designed to drive screws with a cross-shaped recess.
ETIM,EC000145,Level,A tool used to determine the horizontal or vertical alignment of a surface.
ETIM,EC000146,Chisel,A cutting tool with a sharp edge used for shaping or carving materials.
ETIM,EC000148,Pipe cutter,A tool used to cut pipes cleanly and precisely.
ETIM,EC000149,Tool set,A collection of tools assembled for specific tasks.
ETIM,EC000150,Brush,"A tool with bristles used for cleaning, painting, or applying substances."
ETIM,EC000151,Chalk line device,A tool that marks straight guidelines using chalk-coated string.
ETIM,EC000152,Putty knife/spatula,A flat-bladed tool used for applying or smoothing putty and similar materials.
ETIM,EC000153,Gypsum container,A container designed for holding and mixing gypsum or plaster.
ETIM,EC000154,Fuse screw key,A specialized key used for screwing or unscrewing fuse holders.
ETIM,EC000155,Knife,A hand tool with a sharp blade for cutting materials.
ETIM,EC000156,Hole punch,A tool used to create holes in various materials.
ETIM,EC000157,Slide gauge,A measuring instrument used for precise linear measurements.
ETIM,EC000158,Screwdriver for slot head screws,A tool designed to drive screws with a single straight groove.
ETIM,EC000159,Stabbing awl,A pointed tool used for piercing holes or scoring materials.
ETIM,EC000160,Shears,A cutting tool with two blades used for trimming or slicing materials.
ETIM,EC000161,Hammer,A hand tool with a heavy head used for driving nails or breaking objects.
ETIM,EC000162,Step drill,A drill bit designed for making progressively larger holes.
ETIM,EC000163,Cable stripping tool,A tool used to remove insulation from electrical cables.
ETIM,EC000164,Water pump pliers,Adjustable pliers used for gripping pipes and fittings.
ETIM,EC000165,Side cutter,A cutting tool designed for cutting wire and small metal objects.
ETIM,EC000166,Punch pliers,A hand tool used to punch holes in materials like leather or metal.
ETIM,EC000167,Cable pulling system,A toolset designed to guide and pull cables through conduits.
ETIM,EC000168,"Crimp tool cable lugs, cable end sleeves, screen connection",A tool used to crimp connectors onto cables for secure electrical connections.
ETIM,EC000170,Hand saw,A manually operated saw used for cutting wood or other materials.
ETIM,EC000172,Sabre saw (electric),A power saw with a reciprocating blade for cutting various materials.
ETIM,EC000174,Socket spanner,A tool with a socket head used for tightening or loosening nuts and bolts.
ETIM,EC000175,Key for enclosures/cabinets,A specialized key used to open and secure electrical enclosures or cabinets.
ETIM,EC000177,Nibbler (electric),A power tool designed to cut sheet metal with minimal distortion.
ETIM,EC000178,Wall chaser (electric),A power tool used to cut channels into walls for cable installation.
ETIM,EC000181,Tool box/case,A container used to store and transport tools securely.
ETIM,EC000182,Tweezers,A small precision tool used for grasping and manipulating small objects.
ETIM,EC000183,Electric soldering iron,A hand tool that heats up to melt solder for joining metal components.
ETIM,EC000184,Soldering tip,The replaceable heated tip of a soldering iron used for melting solder.
ETIM,EC000185,Soft solder,A low-melting-point metal alloy used for soldering electrical and plumbing connections.
ETIM,EC000186,Razor socket outlet,A specialized power outlet designed for electric razors.
ETIM,EC000187,Marker,A writing instrument used to make permanent or temporary marks.
ETIM,EC000188,Latching relay,A relay that maintains its switched state until a control signal is applied.
ETIM,EC000189,Twilight switch,Electrical equipment which has the task to actuate a switch contact when an adjustable brightness val
ETIM,EC000190,Face plate for wall duct,A cover plate used to provide a finished appearance for a wall duct opening.
ETIM,EC000191,Cable reel,A spool or drum used for storing and deploying electrical cables.
ETIM,EC000192,PLC memory card,A storage device used to save programs and data for a programmable logic controller.
ETIM,EC000193,Decoration element for domestic switching devices,Component which is mounted in particular installation programs switch between cover frame and cover f
ETIM,EC000195,Optical/acoustic signal device,A device that provides visual or audible alerts for signaling purposes.
ETIM,EC000196,"Auxiliary contactor, relay","Electromagnetic switch for switching purposes. Instead of load contactors, these auxiliary contactors"
ETIM,EC000199,Illumination insert for domestic switching devices,A lighting component integrated into switches or sockets for visibility or indication.
ETIM,EC000200,Enclosure for control circuit devices,A protective housing designed for control circuit components.
ETIM,EC000201,Built-in panel for command devices,A panel that integrates control elements for operating machines or systems.
ETIM,EC000202,Protective cover for command devices,A shielding component designed to protect control switches and buttons.
ETIM,EC000203,Lamp transformer for control circuit devices,A transformer that regulates voltage for indicator or control circuit lamps.
ETIM,EC000204,Lamp holder block for control circuit devices,A mounting component that holds indicator lamps in control circuits.
ETIM,EC000205,Intelligent control element,A smart control component used for automation and system management.
ETIM,EC000206,Technical spray,"A pressurized liquid used for cleaning, lubricating, or protecting technical components."
ETIM,EC000209,Fire protection compound/binding/foam/sealant,A material used to seal gaps and enhance fire resistance in structures.
ETIM,EC000210,Fire partitioning,A system or material used to create fire-resistant barriers in buildings.
ETIM,EC000211,Gland plate for enclosure/cabinet,A plate used to secure and organize cable entry points in electrical enclosures.
ETIM,EC000213,Mounting plate for distribution board,A base plate designed for securing electrical components inside a distribution board.
ETIM,EC000214,Small distribution board,A compact panel used to distribute electrical power to circuits.
ETIM,EC000215,Phase busbar,A conductive bar used to distribute electrical power within a system.
ETIM,EC000216,Switch disconnector (AC),A device that disconnects electrical circuits under load for safety and maintenance.
ETIM,EC000217,Shrink tubing,A heat-sensitive insulating sleeve that shrinks to protect electrical connections.
ETIM,EC000218,Shrink end cap,A heat-shrinkable cap used to insulate and seal the end of cables.
ETIM,EC000219,Repair seal,A sealing component used for repairing damaged cables or pipes.
ETIM,EC000220,Wall transit for cables and tubes,A protective passage that allows cables and tubes to pass through walls securely.
ETIM,EC000221,Front element for push button,The external interface or cover for a push button control device.
ETIM,EC000222,Front element for selector switch,The visible part of a selector switch used for manual operation.
ETIM,EC000223,Front element for indicator light,A cover or lens for an indicator light in a control system.
ETIM,EC000224,7 segment LED driver,A circuit that controls the display of numbers on a 7-segment LED module.
ETIM,EC000225,Control circuit devices combination in enclosure,A pre-assembled set of control components housed in a protective casing.
ETIM,EC000228,Power circuit-breaker for trafo/generator/installation protection,"A circuit breaker designed to protect transformers, generators, or installations from overloads."
ETIM,EC000229,Handle for power circuit breaker,A manual actuator used to operate a power circuit breaker.
ETIM,EC000230,Door coupling handle for switchgear,A handle mechanism that allows external operation of a switchgear device.
ETIM,EC000231,Foot-/palm switch complete,A control switch operated by foot or palm pressure.
ETIM,EC000232,Optical module for signal tower,A light-emitting component used in industrial signal towers.
ETIM,EC000233,Empty enclosure for pendant control station,A protective casing designed to house a suspended control unit.
ETIM,EC000234,Pendant control station,A handheld or suspended control unit used to operate machinery.
ETIM,EC000235,Power boost (for dimmer),A device that enhances the power capacity of a dimmer switch.
ETIM,EC000236,PLC CPU-module,The central processing unit for a programmable logic controller.
ETIM,EC000237,PLC connection cable,Device for establishment of a connection between programmable logic controllers (PLC) or decentralise
ETIM,EC000238,PLC simulation module,A module used to simulate PLC operations for testing and development.
ETIM,EC000239,Current limiter,A device that restricts excessive electrical current flow in a circuit.
ETIM,EC000240,Cable entry,An opening or fitting designed for guiding cables into an enclosure or panel.
ETIM,EC000241,D-system protective cover,A cover designed to protect components in a D-system installation.
ETIM,EC000242,Plug with protective contact,An electrical plug with grounding protection for safety.
ETIM,EC000243,Pressure switch,A pressure switch is a control device that is designed to sense changes in pressure and actuate an el
ETIM,EC000244,Span wire clamp,A clamp used to secure wires in overhead installations.
ETIM,EC000245,Cable reel dispenser,A device used to hold and dispense cable from a reel.
ETIM,EC000246,Accessories/spare parts for cable dispenser,Additional components or replacement parts for a cable dispenser.
ETIM,EC000247,Spiralized cable,A coiled cable designed for flexibility and extension.
ETIM,EC000248,Unequipped meter cabinet,Unequipped (empty) housing in which the required power for a home meter for electricity or heating an
ETIM,EC000249,Fuse switch disconnector with housing,A protective device combining a fuse and switch for electrical disconnection.
ETIM,EC000250,Cable protective covering hood,A protective cover used to shield cables from external elements.
ETIM,EC000253,Cable protection tube for underground application,A conduit designed to protect cables buried underground.
ETIM,EC000256,Speed controller,A device used to regulate the speed of an electric motor.
ETIM,EC000257,Transmitter/remote control for domestic switching devices,A wireless control unit for operating home electrical switches.
ETIM,EC000258,Low voltage halogen reflector lamp,A halogen lamp with a built-in reflector for directing light at low voltage.
ETIM,EC000259,Low voltage halogen lamp without reflector,A halogen lamp designed for low voltage operation without an integrated reflector.
ETIM,EC000260,Starter for lighting,Device which initiates the ignition of a fluorescent lamp and is connected in parallel to the lamp
ETIM,EC000261,Enclosure/cabinet (empty),A protective casing designed to house electrical components without pre-installed equipment.
ETIM,EC000262,Meter cabinet equipped,A cabinet pre-fitted with meters and related electrical components.
ETIM,EC000263,Meter panel,A panel used to mount and organize electrical meters.
ETIM,EC000264,Panel for distribution board,A structural panel designed for mounting components within a distribution board.
ETIM,EC000266,High voltage halogen reflector lamp,A high-voltage halogen lamp with an integrated reflector.
ETIM,EC000268,Cable entry cabinet,Cable entry systems are crucial to the proper functioning of electrical systems. They route your cabl
ETIM,EC000269,Cable connection box for entry cabinet,An enclosure used for organizing cable connections in an entry cabinet.
ETIM,EC000271,Miniature circuit breaker (MCB) plug model,A plug-in version of a miniature circuit breaker used for circuit protection.
ETIM,EC000272,Indicator light complete,A fully assembled light signal unit used for status indication.
ETIM,EC000273,Cable tree,A pre-assembled bundle of cables organized for distribution.
ETIM,EC000274,Connection cable tree for distribution boards,A structured wiring assembly for connecting distribution boards.
ETIM,EC000275,Main line branch terminal,A terminal designed for branching off from a main electrical line.
ETIM,EC000276,Distribution terminal block,Terminal for the arrangement of conductors of a control line
ETIM,EC000277,D0-system switch disconnector,A disconnection switch used in D0 fuse systems for safety and control.
ETIM,EC000278,D0-system adaptor sleeve,"Component for the NEOZED fuse system, which is installed in the fuse base and prevents because of the"
ETIM,EC000279,D-system ring adaptor,A ring-shaped adapter used in D-system electrical installations.
ETIM,EC000282,Tubelight system,A lighting system using elongated tube-shaped lamps.
ETIM,EC000293,Support profile light-line system,A structural support used for aligning and mounting light-line systems.
ETIM,EC000297,Staircase lighting timer,A timing device that automatically controls staircase lighting.
ETIM,EC000300,Floor luminaire,A self-standing lighting fixture designed for floor placement.
ETIM,EC000301,Luminaire bollard,"A short, sturdy outdoor light fixture typically used for pathway illumination."
ETIM,EC000302,Table luminaire,A lighting fixture designed for placement on tables or desks.
ETIM,EC000305,Measure-/test device for communication technology,An instrument used to measure and test communication networks.
ETIM,EC000306,Low current connector,A connector designed for low-power electrical connections.
ETIM,EC000309,Module for active network component/network unit,A functional unit used within an active network system.
ETIM,EC000310,Interface converter,A device that enables communication between different types of interfaces.
ETIM,EC000311,Telephone/modem connector,A connector used to establish a wired connection between a telephone or modem.
ETIM,EC000312,Data switch,A device that manages and directs data traffic between networked devices.
ETIM,EC000313,Communications technology adaptor,A device that facilitates compatibility between different communication technologies.
ETIM,EC000317,Document holder (enclosure/cabinet),A storage unit designed to hold documents inside an enclosure or cabinet.
ETIM,EC000320,Ventilator (enclosure/cabinet),A ventilation unit that provides airflow within an electrical enclosure or cabinet.
ETIM,EC000321,Luminaire (enclosure/cabinet),A lighting fixture designed for installation inside an enclosure or cabinet.
ETIM,EC000322,Cable guide for enclosures/cabinets,Element for mounting in power distribution systems for proper and safe cable routing
ETIM,EC000327,Lock system for enclosure/cabinet,A security mechanism used to lock and secure electrical enclosures or cabinets.
ETIM,EC000329,Earthing rail for distribution board,A conductive bar used to provide a grounding connection in a distribution board.
ETIM,EC000330,Socket outlet combination,A unit containing multiple socket outlets in a single enclosure.
ETIM,EC000331,Ventilation plate (enclosure/cabinet),A perforated panel that allows airflow into an enclosure or cabinet.
ETIM,EC000338,Clock,A timekeeping device that displays and measures time.
ETIM,EC000339,Trace heating cable,A cable designed to provide heat to prevent freezing or maintain temperatures.
ETIM,EC000340,Finishing set heating cable,A set of accessories for the installation and termination of heating cables.
ETIM,EC000341,Vending machine,An automated machine that dispenses products after payment.
ETIM,EC000342,Maximum demand monitor for distribution board,"Device to reduce energy power peaks, which can shut down during periods of high power demand differen"
ETIM,EC000343,Garage door operator,A motorized device used to open and close a garage door.
ETIM,EC000344,Strap motor,A motor that operates using a belt or strap mechanism.
ETIM,EC000345,Tube mounted motor,"Mechanically or electronically controlled motor, which is inserted in a shaft and then moves it"
ETIM,EC000346,Building site lighting luminaire,A durable lighting fixture designed for temporary use on construction sites.
ETIM,EC000347,Hand luminaire,A portable lighting device designed for handheld operation.
ETIM,EC000348,Machine and work bench luminaire,A lighting fixture designed to illuminate workstations and machinery.
ETIM,EC000349,Functional module for door communication,A component that provides additional functionality to a door communication system.
ETIM,EC000350,Mounting frame for door station,Component which will ensure an appropriate depth and where a door station is attached
ETIM,EC000352,System telephone,A telephone integrated into a communication system for business or residential use.
ETIM,EC000354,Mounting element for indoor station door communication,Component which will ensure an appropriate depth and where a house station can be attached
ETIM,EC000355,Door station door communication,An outdoor communication unit for intercom and access control at doors.
ETIM,EC000356,Standard battery (not rechargeable),A primary battery that supplies power but cannot be recharged.
ETIM,EC000357,Standard battery (rechargeable),A secondary battery that can be recharged and reused multiple times.
ETIM,EC000359,Universal charger,A power adapter compatible with multiple devices for battery charging.
ETIM,EC000362,Labeling letters/numbers,Pre-made characters used for marking or identifying components.
ETIM,EC000363,Cable clip,A fastening device used to secure cables in place.
ETIM,EC000364,Screw anchor,A fastening device used to secure screws into walls or other surfaces.
ETIM,EC000365,Punch,A hand tool used to create holes or indentations in materials.
ETIM,EC000367,Electric strike for doors,An electromechanical locking device used to secure doors.
ETIM,EC000368,Tube clamp,A device used to fasten and secure tubes or pipes.
ETIM,EC000370,Cable guide,A component that directs and organizes cable routing.
ETIM,EC000371,Telecommunication terminal strip,"Connection method that enables a fast, simple connection of single cores (e.g. for network installati"
ETIM,EC000372,LSA-Plus mounting box,A housing unit for LSA-Plus termination blocks in telecommunication systems.
ETIM,EC000373,Additional device for telecommunication technology,A supplementary component used to expand telecommunication systems.
ETIM,EC000374,Distributor for telecommunication,A device used to manage and distribute telecommunication connections.
ETIM,EC000375,Telephone system,A network of interconnected telephones used for communication.
ETIM,EC000376,Mounting plate for fibre optic connection box,A plate designed to support and secure fiber optic connection boxes.
ETIM,EC000379,CEE socket outlet combination (IEC 60309),A set of multiple industrial-grade sockets complying with IEC 60309.
ETIM,EC000380,Clamp measuring instrument,A measuring device with clamp functionality for electrical diagnostics.
ETIM,EC000381,Lightning current arrester for power supply systems,A protective device that diverts lightning-induced surges from power systems.
ETIM,EC000382,UPS,Power supply which ensures the supply of critical electric loads during disturbance in a power grid
ETIM,EC000385,Special tool for telecommunication technology,A specialized instrument used for installing and maintaining telecommunication systems.
ETIM,EC000386,Mounting rail/-profile,A structural component used for mounting electrical or mechanical devices.
ETIM,EC000387,Separation plate for surface tank,A divider used in tanks to separate different sections or contents.
ETIM,EC000390,Boiling water unit,A device that heats and dispenses boiling water.
ETIM,EC000392,Instantaneous water heater,A heating device that provides hot water on demand without storage.
ETIM,EC000393,Hot water heat pump,A system that extracts heat from the air or ground to heat water.
ETIM,EC000395,Storage heater,"A storage heater is an electrical appliance used for heating spaces, typically found in homes or offi"
ETIM,EC000396,Heating element set for storage heater,Electric heating cables made from metal which are placed in a thermal storage between the brick piles
ETIM,EC000397,Housing for storage heater,An enclosure designed to contain and protect a storage water heater.
ETIM,EC000398,Distribution terminal for transformer,A connection point used for distributing electrical power from a transformer.
ETIM,EC000399,Indication- and signalling lamp,A lamp designed to provide status indication or signaling in systems.
ETIM,EC000400,Door station set,A complete intercom unit for communication and access control at doors.
ETIM,EC000401,Lamp holder,A device that securely holds and connects a light bulb to an electrical circuit.
ETIM,EC000405,Electric surface heating,"A heating system that uses electrical elements embedded in floors, walls, or ceilings."
ETIM,EC000406,Thermal insulation for hydronic tanks and hot water appliances,Insulating material used to reduce heat loss in water storage tanks and heaters.
ETIM,EC000408,Battery for mobile and wireless telephone,A rechargeable power source used in mobile and cordless phones.
ETIM,EC000409,Booster,A device that enhances electrical or signal performance in a system.
ETIM,EC000411,Charging controller,Electrical control which identifies the respected energy demand of a night memory by means of a tempe
ETIM,EC000412,Lux meter,A measuring instrument used to determine the intensity of light.
ETIM,EC000414,Built-in installation box luminaire,A recessed lighting fixture housed in an installation box.
ETIM,EC000415,Hole saw,A cylindrical cutting tool used to drill large circular holes.
ETIM,EC000416,Terrestrial antenna,An antenna designed to receive over-the-air television and radio signals.
ETIM,EC000417,Head end station,A central unit that receives and processes television and communication signals.
ETIM,EC000418,Compact head end station,A smaller version of a head-end station used for processing TV and data signals.
ETIM,EC000419,Module for head end station,A component used to expand or enhance the functionality of a head-end station.
ETIM,EC000420,Diplexer/filter,A device that separates or combines different frequency signals.
ETIM,EC000421,Tap-off and distributor,A component that distributes signals in communication systems.
ETIM,EC000422,Multi switch for communication technology,A switch that directs signals to multiple communication devices.
ETIM,EC000423,CATV-amplifier,An amplifier that boosts cable television signals for improved reception.
ETIM,EC000424,Receiver,"A device that processes and converts signals into audio, video, or data."
ETIM,EC000425,Feeding system/LNB,A satellite dish component that receives and processes satellite signals.
ETIM,EC000426,Satellite antenna,A dish-shaped antenna used for receiving satellite signals.
ETIM,EC000427,Finned-tube heater,A heating device that uses metal fins to increase heat dissipation.
ETIM,EC000429,Pumping shaft-container,"A pumping shaft-container, also known as a pump sump or pump chamber, is a structure that holds and c"
ETIM,EC000430,Recessed mounted box for doorbell,An enclosure designed to house doorbell components within a wall or surface.
ETIM,EC000432,Level adjuster,A device used to correct or maintain a level position.
ETIM,EC000433,Antenna pole,A vertical support structure for mounting antennas.
ETIM,EC000434,Antenna support bracket,A mounting component used to secure antennas in place.
ETIM,EC000435,Sun-/twilight sensor for roller-blind drive,A sensor that detects sunlight levels to control roller blinds automatically.
ETIM,EC000436,Radio receiver,A device that captures and processes radio signals for audio output.
ETIM,EC000437,Housing for rectangular connectors,A protective casing designed for rectangular electrical connectors.
ETIM,EC000438,Contact insert for rectangular connectors,Insert for screwing to the inside of the housing (with and without contacts)
ETIM,EC000439,Antenna socket box,A connection box for integrating antennas into electrical systems.
ETIM,EC000440,Satellite set,"A complete package including satellite receiver, dish, and accessories."
