Dictionary Name,Dictionary URI,Class Name,Class Code,Class Description,Class URI
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Base plate for surface mounted wiring devices,EC000013,A mounting plate that provides support for surface-installed electrical devices.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000013
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Incandescent lamp tube-shaped,EC000014,A tubular-shaped lamp that emits light by heating a filament.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000014
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Explosion proof CEE socket outlet (IEC 60309),EC000016,A socket outlet designed to safely operate in explosive atmospheres.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000016
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Explosion proof CEE-plug/-coupler (IEC 60309),EC000017,A plug or coupler designed for safe use in hazardous environments.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000017
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Insert/cover for communication technology,EC000018,A component used to house or protect communication device connections.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000018
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Coaxial cable,EC000019,"A type of cable with a central conductor, insulating layer, and shielding for signal transmission.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000019
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Combination of switch/push button with socket outlet,EC000020,A unit integrating a switch or push button with a power socket.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000020
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Bracket for cable support system,EC000022,A structural support used to secure cable management systems.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000022
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cover for wall duct/Installation column,EC000023,A protective covering for cable ducts or installation columns.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000023
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Device installation insert for subfloor installation,EC000024,Element which is suitable for work-related installation of electrical equipment in duct systems as we,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000024
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Dimmer,EC000025,A device that adjusts the brightness of a connected light source.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000025
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Low Voltage HRC solid link,EC000026,Component which is mounted on NH fuse bases and is used instead of HRC fuses for switching and discon,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000026
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Threaded rod,EC000028,A long rod with external threading used for fastening or mounting.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000028
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Push button,EC000029,A control device that activates or deactivates a circuit when pressed.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000029
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,End switch,EC000030,A switch that detects the position of a moving part and triggers a response.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000030
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Plug for cable screw gland,EC000032,A sealing plug used to close an unused cable gland opening.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000032
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Mounting strap,EC000033,A flexible strip used to secure electrical components or cables.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000033
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Fibre optic cable,EC000034,A cable that transmits data using light signals through optical fibers.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000034
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Miniature fuse holder,EC000036,A small component designed to house and secure a fuse.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000036
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Halogen metal halide lamp without reflector,EC000037,A high-intensity discharge lamp that produces bright white light without a built-in reflector.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000037
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,High voltage halogen lamp without reflector,EC000038,A halogen lamp designed for high voltage applications without an integrated reflector.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000038
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cavity fixing,EC000040,A fastening device designed for securing objects in hollow structures.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000040
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Auxiliary contact block,EC000041,A supplementary electrical contact that extends functionality in control circuits.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000041
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Miniature circuit breaker (MCB),EC000042,A miniature circuit breaker is an automatically operated electrical switch that protects an electrica,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000042
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Window blind switch,EC000044,Component which connects or disconnects an electrically conductive connection by means of two electri,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000044
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Candle-shaped incandescent lamp,EC000045,An incandescent light bulb designed to resemble a candle.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000045
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cable tie,EC000046,A fastener used to bundle and secure cables or wires.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000046
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cable tray,EC000047,A support system used to route and manage cables in buildings.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000047
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Anchor bolt,EC000048,A heavy-duty fastener used to secure objects to concrete or masonry.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000048
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Chain,EC000050,"A series of connected metal links used for lifting, securing, or transmitting force.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000050
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Sphere-shaped incandescent lamp,EC000051,A round incandescent lamp that emits light by heating a filament.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000051
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Coupler for plinth skirting duct,EC000052,A connector used to join sections of plinth skirting ducts.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000052
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Incandescent lamp with ring head,EC000054,A filament-based light bulb with a circular or ring-shaped head.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000054
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Knife blade fuse,EC000055,"A protective electrical fuse with flat, blade-like terminals.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000055
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Mercury vapour lamp,EC000056,A high-intensity discharge lamp that uses mercury vapour to produce light.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000056
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Empty cabinet,EC000058,Case for the installation of module system fields,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000058
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Mini/maxi trunking,EC000059,A closed cable management system used in electrical installations to enclose and protect wires and ca,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000059
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Hood for light signalling unit,EC000060,A protective cover for a light signaling component.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000060
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Light pole,EC000061,A vertical structure designed to support lighting fixtures.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000061
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Luminaire for streets and places,EC000062,A lighting fixture designed for outdoor public areas and roadways.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000062
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Information light signal for domestic switching devices,EC000064,A visual indicator integrated into a domestic switch or control device.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000064
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Loudspeaker cable,EC000065,Two-wire electric cable which connects the speaker terminals of an audio amplifier to a loudspeaker b,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000065
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,"Power contactor, AC switching",EC000066,"Contactor = Electromagnetic switch for load switching purposes (loads = motors, electric heaters, big",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000066
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Low Voltage HRC fuse base,EC000067,A holder designed to accommodate high rupturing capacity (HRC) fuses in low-voltage applications.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000067
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Meter board,EC000068,A panel used for mounting electrical meters and associated equipment.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000068
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Multimeter,EC000069,"A measuring instrument used to test voltage, current, and resistance.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000069
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Microphone,EC000070,A device that converts sound waves into electrical signals.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000070
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Mounting system for busbar trunk,EC000071,A structural system used to install and secure busbar trunking.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000071
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Junction box for wall duct,EC000073,An enclosure for housing electrical connections within a wall duct system.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000073
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Motor protection circuit-breaker,EC000074,"Motor-protective circuit-breakers are circuit-breakers used for the switching, protection and isolati",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000074
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Plug in (night) light,EC000075,"A small light that plugs into an electrical socket, often for nighttime illumination.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000075
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Standard-shaped incandescent lamp,EC000078,A general-purpose incandescent bulb with a conventional shape.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000078
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Appliance box for skirting duct,EC000079,A housing unit integrated into a skirting duct for electrical connections.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000079
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Surface mounted box for flush-mounted switching equipment,EC000080,An enclosure for mounting flush-switching devices onto a surface.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000080
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Ceiling profile for cable support system,EC000082,A structural support element for routing cables along ceilings.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000082
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Transition cover section for installation duct,EC000083,A cover piece used to transition between different duct sections.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000083
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Sleeve for compacted conductor,EC000084,A protective or connecting sleeve for compacted electrical conductors.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000084
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,D-system screw adaptor,EC000085,Component that is installed in the fuse base and prevents that fuses can be used with a higher rated ,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000085
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Perilex socket outlet,EC000086,A specialized multi-phase power socket for high-power appliances.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000086
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Compact fluorescent lamp without integrated ballast,EC000087,A fluorescent light source requiring an external ballast for operation.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000087
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Skirting duct complete,EC000088,A fully assembled cable management system integrated into a skirting board.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000088
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,All-purpose plug,EC000089,A universal electrical plug compatible with various socket types.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000089
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Potential equalization socket outlet,EC000090,A socket designed to equalize electrical potential and reduce grounding differences.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000090
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Busbar trunk unit,EC000091,An enclosed system of conductors used for distributing electrical power efficiently within buildings ,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000091
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Screw hook,EC000092,A metal hook with a threaded end for securing into surfaces.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000092
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,D-system screw cap,EC000093,Component that houses the fuse on the head contact and fixates it by screwing into the fuse base,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000093
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,D-system fuse base,EC000094,Component which is mounted on the power rail and serves as a solid base for screw fuses with the fitt,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000094
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Slide nut,EC000096,A fastener that slides into a channel before being tightened.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000096
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Hammer-in plug,EC000097,A fixing element inserted into a hole and secured by hammering.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000097
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Washer,EC000098,A flat disc used to distribute load in fastening applications.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000098
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,D-system fuse link,EC000099,"Screw fuse with foot contact and current-dependent stepped diameter, in whose center of head contact ",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000099
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Fuse enclosure,EC000100,Partly adaptable housing for the array of fuses which produce or separate an electrically conductive ,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000100
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Light-track,EC000101,A rail system used for mounting and powering multiple light fixtures.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000101
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Incandescent lamp with reflector,EC000102,A filament-based light bulb with a reflective coating to direct light.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000102
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Nail,EC000103,A slender metal pin used for fastening materials together.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000103
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cordless telephone,EC000105,A wireless communication device that connects to a landline base station.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000105
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Thermal overload relay,EC000106,A protective device that disconnects a circuit when excessive heat is detected.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000106
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Timer for domestic switching devices,EC000107,A programmable device that controls the operation time of electrical switches.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000107
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Fluorescent lamp,EC000108,A gas-discharge light source that uses fluorescence to produce visible light.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000108
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Batten luminaire,EC000109,"A long, narrow lighting fixture designed for ceiling or wall mounting.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000109
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Toggle fixing,EC000112,A fastener with a toggle mechanism for securing objects to hollow surfaces.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000112
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Junction box for installation duct,EC000113,"Installation casing for the installation duct, in order to bring together multiple electric lines for",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000113
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Junction box for subfloor installation,EC000114,An enclosure for electrical connections installed beneath flooring.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000114
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Plaster compensation ring,EC000115,A spacer used to align electrical fixtures with plastered surfaces.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000115
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,HiFi Amplifier,EC000117,An electronic device that amplifies audio signals for high-fidelity sound systems.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000117
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Subfloor installation duct screed-covered,EC000118,Duct system in which the screed thickness over the duct has to be at least thirty-five millimeters in,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000118
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Device cup/device carrier for subfloor system,EC000119,A mounting component for electrical devices within a subfloor system.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000119
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,On-floor duct base,EC000120,Foundation for systems that are locked in place on the floor and are used for the laying of cables an,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000120
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Surface tank empty,EC000121,Installation of devices above floor has to take place either on the duct or on a can body due to the ,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000121
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Feed unit for busbar trunk,EC000122,A component that supplies power to a busbar trunking system.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000122
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Socket outlet,EC000125,A receptacle for connecting electrical plugs to a power supply.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000125
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Saddle clamp (pipe/cable),EC000127,A fastening device used to secure pipes or cables to surfaces.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000127
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Self-adhesive tape,EC000128,A flexible tape with an adhesive backing for securing materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000128
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Signal horn,EC000130,A sound-emitting device used for alarms or warnings.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000130
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Bell gong,EC000131,A mechanical or electronic device that produces a ringing sound.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000131
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Bell push button,EC000132,A switch that activates a bell or chime when pressed.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000132
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Movement sensor/presence detector complete,EC000133,A device that detects motion or presence and triggers a response.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000133
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Low voltage switch for doorbell,EC000134,A switch designed for controlling a low-voltage doorbell circuit.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000134
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Hospital call button (hanging),EC000135,"Electrical device for activating an audible signal device to the call, which is attached to a string",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000135
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Lamp holder for doorbell,EC000136,A socket designed to hold a light bulb in a doorbell system.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000136
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Motor siren,EC000137,A siren that generates sound using an electrically driven motor.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000137
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Sensor element for movement sensor/presence detector,EC000138,"Sensor for motion detectors that responds to a change in temperature caused by movement of people, an",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000138
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,CEE plug (IEC 60309),EC000140,A heavy-duty industrial plug designed for high-current applications.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000140
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Labelling material for domestic switching devices,EC000141,A material used to mark or identify switches and sockets.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000141
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cable shears,EC000142,A hand tool designed to cut electrical cables cleanly.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000142
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Folding rule,EC000143,A measuring tool consisting of hinged segments for compact storage.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000143
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Crosshead screwdriver,EC000144,A tool designed to drive screws with a cross-shaped recess.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000144
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Level,EC000145,A tool used to determine the horizontal or vertical alignment of a surface.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000145
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Chisel,EC000146,A cutting tool with a sharp edge used for shaping or carving materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000146
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Pipe cutter,EC000148,A tool used to cut pipes cleanly and precisely.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000148
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Tool set,EC000149,A collection of tools assembled for specific tasks.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000149
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Brush,EC000150,"A tool with bristles used for cleaning, painting, or applying substances.",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000150
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Chalk line device,EC000151,A tool that marks straight guidelines using chalk-coated string.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000151
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Putty knife/spatula,EC000152,A flat-bladed tool used for applying or smoothing putty and similar materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000152
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Gypsum container,EC000153,A container designed for holding and mixing gypsum or plaster.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000153
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Fuse screw key,EC000154,A specialized key used for screwing or unscrewing fuse holders.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000154
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Knife,EC000155,A hand tool with a sharp blade for cutting materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000155
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Hole punch,EC000156,A tool used to create holes in various materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000156
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Slide gauge,EC000157,A measuring instrument used for precise linear measurements.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000157
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Screwdriver for slot head screws,EC000158,A tool designed to drive screws with a single straight groove.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000158
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Stabbing awl,EC000159,A pointed tool used for piercing holes or scoring materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000159
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Shears,EC000160,A cutting tool with two blades used for trimming or slicing materials.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000160
